gene_id,fd713184-4bb4-4e1b-a3b8-636273ee6ccc,a6a841ae-f63f-45ab-9a17-2288e12a9577,d94a4acc-1345-4cdb-b1e0-0b9c1afc593c,f1eb1ef7-fe25-4dd8-abed-9d9c298d72fb,32dd8db9-1e43-497e-a35a-664d7d15ed60,f6108b9b-e02f-4608-bec3-bcc0112d05b4,fbd81adc-aa56-4cde-b1f2-e749e2cbf653,525e9185-ed15-403d-8987-93c50e4b89a1
ENSG00000016402.13,467,351,50,396,473,249,32,189
ENSG00000016490.16,9,11,1,2,1,3,0,0
ENSG00000016602.9,98,2,15,19,5,8,5,0
ENSG00000016864.18,1851,1309,1917,1520,3671,2582,2320,1378
ENSG00000017260.20,4823,3777,3763,3065,13874,3565,2757,2703
ENSG00000017427.17,342,9,78,37,177,61,16,514
ENSG00000017483.15,272,144,534,808,866,1051,1553,727
ENSG00000017797.13,2681,3869,2645,2648,3672,2717,3278,2403
ENSG00000018189.13,1710,996,2076,1552,2768,1753,3637,752
ENSG00000018236.15,505,89,50,26,629,43,98,73
ENSG00000018280.17,1034,1298,1000,1586,1304,3722,131,630
ENSG00000018408.15,4144,1584,2081,1852,7345,2762,3332,2903
ENSG00000018510.17,3444,2740,1453,1818,3253,1732,1554,1787
ENSG00000018607.7,2,0,0,1,0,0,0,0
ENSG00000018610.15,1041,746,536,684,1536,887,1564,437
ENSG00000018625.15,323,71,215,41,52,183,43,26
ENSG00000018699.13,907,421,678,531,930,713,943,407
ENSG00000018869.17,80,30,45,18,125,81,40,30
ENSG00000019102.12,617,4129,3430,471,143,613,3057,489
ENSG00000019144.19,3903,1092,3272,2575,4256,3902,3576,3196
ENSG00000019169.10,707,6683,1110,1432,3636,4085,63,685
ENSG00000019186.10,321,6,206,448,10562,3759,3080,2703
ENSG00000019485.13,713,349,435,360,431,366,634,270
ENSG00000019505.8,54,3860,3,973,59,30,7,0
ENSG00000019549.13,415,78,347,224,898,724,95,752
ENSG00000019582.15,63208,113004,370611,107297,649418,179114,269262,50248
ENSG00000019991.18,1351,500,459,145,908,199,118,426
ENSG00000019995.6,1165,400,264,439,840,316,398,398
ENSG00000020129.16,1558,991,1716,1366,2705,1325,2264,1080
ENSG00000020181.18,1077,474,1099,656,2395,1168,342,2953
ENSG00000020219.9,0,0,1,2,2,5,0,0
ENSG00000020256.20,583,802,527,495,1018,704,649,630
ENSG00000020426.11,850,297,460,628,1050,505,476,193
ENSG00000020577.14,6875,591,836,2574,2394,4653,564,985
ENSG00000020633.19,478,650,839,1585,2131,792,184,315
ENSG00000020922.13,1980,425,694,982,1191,1269,1285,596
ENSG00000021300.14,520,816,2597,712,1913,1180,1480,534
ENSG00000021355.13,4477,8708,17942,4462,9438,7753,34983,2005
ENSG00000021461.17,6,0,1,5,4,0,1,0
ENSG00000021488.13,7,1,3,33,6,10,11,3
ENSG00000021574.13,1897,795,669,807,1358,974,1103,812
ENSG00000021645.20,930,103,170,147,974,134,296,403
ENSG00000021762.20,2971,1017,796,1154,2950,1784,2242,897
